Name,Year,Rating
It's Such a Beautiful Day,2012,4.0
Terminator 2: Judgment Day,1991,4.0
Teenage Mutant Ninja Turtles,1990,3.5
Ryan's Daughter,1970,3.5
Star Wars: The Last Jedi,2017,4.5
Pretty Woman,1990,2.5
Minari,2020,4.0
The Fall Guy,2024,3.5
The Big Lebowski,1998,4.0
Perfect Days,2023,2.0
Roadrunner: A Film About Anthony Bourdain,2021,4.5
Room,2015,2.0
A Beautiful Mind,2001,2.0
Amadeus,1984,2.0
C'mon C'mon,2021,3.0
A Separation,2011,2.5
Civil War,2024,4.0
The Worst Person in the World,2021,3.0
(500) Days of Summer,2009,5.0
Dune: Part Two,2024,5.0
Midnight in Paris,2011,4.0
One Flew Over the Cuckoo's Nest,1975,2.5
Spider-Man: Across the Spider-Verse,2023,5.0
The Holdovers,2023,5.0
Spider-Man: Into the Spider-Verse,2018,5.0
Past Lives,2023,5.0
The Talented Mr. Ripley,1999,4.0
The Iron Claw,2023,3.5
The English Patient,1996,2.5
The Batman,2022,4.0
Joker,2019,4.5
Dune,2021,4.5
Five Nights at Freddy's,2023,1.0
47 Meters Down,2017,1.0
Eternals,2021,2.0
Antlers,2021,2.0
Tolkien,2019,2.0
Thor,2011,2.0
Star Wars: Episode II – Attack of the Clones,2002,2.0
Fast & Furious Presents: Hobbs & Shaw,2019,2.0
Jackie,2016,2.0
Rebel Without a Cause,1955,2.0
Killers of the Flower Moon,2023,2.0
The Master,2012,2.0
Three Colours: White,1994,2.5
Rush,2013,2.0
The Maltese Falcon,1941,2.0
The Platform,2019,2.5
Black Widow,2021,2.0
The Suicide Squad,2021,4.0
My Left Foot: The Story of Christy Brown,1989,2.0
The Dead,1987,2.5
Batman: Mask of the Phantasm,1993,2.5
Sixteen Candles,1984,2.5
Saving Mr. Banks,2013,2.5
Traffic,2000,2.0
From Up on Poppy Hill,2011,2.5
Guy and Madeline on a Park Bench,2009,2.0
The Third Man,1949,2.0
Reservoir Dogs,1992,4.5
Django Unchained,2012,4.0
Inglourious Basterds,2009,4.0
Once Upon a Time... in Hollywood,2019,4.0
Kill Bill: Vol. 1,2003,2.5
Kill Bill: Vol. 2,2004,2.5
Black Hawk Down,2001,2.5
Akira,1988,2.0
Fantasia,1940,2.5
Castle in the Sky,1986,2.5
Solo: A Star Wars Story,2018,2.5
Tigertail,2020,2.5
Gone with the Wind,1939,3.0
Pan's Labyrinth,2006,2.5
Shang-Chi and the Legend of the Ten Rings,2021,2.5
The Conversation,1974,3.0
Heat,1995,3.0
Ben-Hur,1959,2.5
Me and Earl and the Dying Girl,2015,3.0
Erin Brockovich,2000,4.0
The Breakfast Club,1985,4.0
The Tale of The Princess Kaguya,2013,2.5
Kes,1969,3.0
Portrait of a Lady on Fire,2019,2.5
2001: A Space Odyssey,1968,2.5
The Dawn Wall,2017,4.5
Spider-Man: No Way Home,2021,4.5
Kung Fu Panda 2,2011,3.5
WHAM!,2023,4.5
Little Miss Sunshine,2006,4.5
The Shape of Water,2017,3.5
"The Good, the Bad and the Ugly",1966,3.5
Se7en,1995,4.5
Taste of Cherry,1997,2.0
The Silence of the Lambs,1991,4.5
Rush Hour,1998,3.0
Ferris Bueller's Day Off,1986,3.5
Slumdog Millionaire,2008,3.5
Princess Mononoke,1997,3.5
Lost in Translation,2003,3.5
"tick, tick... BOOM!",2021,3.5
Fargo,1996,3.5
Stand by Me,1986,3.5
Hunt for the Wilderpeople,2016,3.0
Uncut Gems,2019,4.0
The Bridge on the River Kwai,1957,3.0
Blade Runner,1982,4.0
Everything Everywhere All at Once,2022,4.0
Gone Girl,2014,4.0
The Girl with the Dragon Tattoo,2011,4.0
Fight Club,1999,3.5
The Tree of Life,2011,4.0
12 Years a Slave,2013,4.0
Luca,2021,3.5
They Shall Not Grow Old,2018,3.5
Tangled,2010,3.5
Raging Bull,1980,2.5
Taxi Driver,1976,4.0
The Departed,2006,4.5
The Wolf of Wall Street,2013,4.0
Silence,2016,3.5
Shutter Island,2010,2.5
The Irishman,2019,3.0
The Aviator,2004,3.5
Green Book,2018,3.5
