Console,GameName,Review,Score
PS2,Piglet's Big Game Review,Good,7
PS2,Mobile Light Force 2 Review,Fair,6
PS,Alone in the Dark: The New Nightmare Review,Fair,6
PC,Cabela's 4X4 Off-Road Adventure 3 Review,Mediocre,5
XBOX,SeaBlade Review,Poor,4
PC,Devastation Review,Fair,6
PC,Trade Empires Review,Fair,6
XBOX,V-Rally 3 Review,Great,8
PS,Gran Turismo 2 Review,Great,8
PC,Humvee Assault Review,Bad,3
PC,Monkey Brains Review,Mediocre,5
XBOX,Burnout 2: Point of Impact Review,Great,8
PC,Knight Rider Review,Mediocre,5
PC,Odyssey: The Search for Ulysses Review,Good,7
PS2,NBA Street Vol. 2 Review,Great,8
XBOX,NBA Street Vol. 2 Review,Great,8
PC,Emergency 2: The Ultimate Fight for Life Review,Mediocre,5
XBOX,Star Wars: The Clone Wars Review,Good,7
PC,X2: Wolverine's Revenge Review,Mediocre,5
PS2,Micro Machines Review,Mediocre,5
XBOX,X2: Wolverine's Revenge Review,Mediocre,5
PC,Red Faction II Review,Good,7
PC,High Impact Paintball Review,Bad,3
PS2,Seek and Destroy Review,Mediocre,5
PS2,X2: Wolverine's Revenge Review,Mediocre,5
XBOX,Pro Race Driver Review,Good,7
PC,Tropico 2: Pirate Cove Review,Good,7
XBOX,Phantasy Star Online Episode I & II Review,Good,7
PC,Purge Review,Mediocre,5
XBOX,Godzilla: Destroy All Monsters Melee Review,Fair,6
PC,Postal 2 Review,Poor,4
PC,CSI: Crime Scene Investigation Review,Mediocre,5
XBOX,Furious Karting Review,Mediocre,5
PC,Bandits: Phoenix Rising Review,Good,7
PC,Restaurant Empire Review,Good,7
PC,Shadowbane Review,Good,7
PS2,Midnight Club II Review,Good,7
PC,Metal Gear Solid 2: Substance Review,Good,7
PC,Casino Inc. Review,Mediocre,5
PC,Vietcong Review,Good,7
PS2,Gallop Racer 2003: A New Breed Review,Mediocre,5
PS2,4x4 Evolution Review,Good,7
PC,1602 A.D. Review,Good,7
PC,1503 A.D. Review,Good,7
XBOX,Red Faction II Review,Good,7
XBOX,World Racing Review,Poor,4
PS,Final Fantasy Origins Review,Good,7
PC,Pro Race Driver Review,Good,7
PS2,Tom Clancy's Splinter Cell Review,Great,8
XBOX,Marvel vs. Capcom 2 Review,Fair,6
PS2,Rayman 3: Hoodlum Havoc Review,Good,7
PC,Rayman 3: Hoodlum Havoc Review,Great,8
PC,New World Order Review,Terrible,2
XBOX,Black Stone: Magic and Steel Review,Terrible,2
PS2,Clock Tower 3 Review,Good,7
XBOX,RLH Review,Poor,4
XBOX,Tao Feng: Fist of the Lotus Review,Fair,6
XBOX,Batman: Dark Tomorrow Review,Terrible,2
PS2,Def Jam Vendetta Review,Great,8
PC,The Omega Stone: Riddle of the Sphinx II Review,Great,8
PS2,Auto Modellista Review,Fair,6
XBOX,State of Emergency Review,Good,7
XBOX,Murakumo: Renegade Mech Pursuit Review,Bad,3
