Console,GameName,Review,Score
PC,Baldur's Gate 3 Early Access Review,Early Access,6
NS,Control: Ultimate Edition Cloud Version Review,Good,7
PC,Ring Of Pain Review,Great,8
NS,Pikmin 3 Deluxe Review,Great,8
PC,Noita Review,Good,7
PC,Amnesia: Rebirth Review,Great,8
NS,Ring Fit Adventure Review: One Year Later,Superb,9
PC,I Am Dead Review – Staying Alive,Good,7
PS4,FIFA 21 Review – A Goal Bonanza,Great,8
NS,Super Mario Bros. 35 Review – Mario Royale,Good,7
PC,The Solitaire Conspiracy Review – Jack Of All Trades,Good,7
NS,Kirby Fighters 2 Review – 2 Kirby 2 Furious,Fair,6
PC,Pendragon Review – Endless Legends,Fair,6
PC,Serious Sam 4 Review – The Fourth Encounter,Good,7
PS4,NBA 2K21 Review – Ball Another Day,Fair,6
PC,Crusader Kings 3 Review – Pass the Duchy,Great,8
PS4,Spelunky 2 Review –  Snakes On A 2D Plane,Great,8
PC,Mafia: Definitive Edition Review – An Offer You Could Probably Refuse,Fair,6
PC,Surgeon Simulator 2 Review – Surgical Imprecision,Fair,6
PS4,"13 Sentinels: Aegis Rim Review – Wow, Cool Robot!",Superb,9
NS,Super Mario 3D All-Stars Review – Shoot For The Stars,Great,8
PC,Road To Guangdong Review – Are We There Yet?,Terrible,2
PS4,"Othercide Review – Mother, May I",Great,8
PC,Marvel's Avengers Review – Infinity War,Good,7
NS,Moon Review – The Bright Side,Great,8
PC,Star Renegades Review – The Heat Of The Moment,Great,8
NS,The Last Campfire Review – One Step At A Time,Great,8
PS4,Madden 21 Review – Feels More Like An Update,Fair,6
PC,Control AWE DLC Review – Haunted Oldest House,Fair,6
PS4,Windbound Review – Against The Wind,Mediocre,5
PC,Thousand Threads Review -- Post Secrets,Mediocre,5
PC,Spiritfarer Review – Purrrgatory,Superb,9
PC,Microsoft Flight Simulator Review – Max Altitude,Superb,9
PS4,PGA Tour 2K21 Review – For Purists And Newcomers Alike,Great,8
PC,Dead By Daylight Review (2020) – Toying With Terror,Superb,9
PC,Mortal Shell Review – Stone Souls,Great,8
PC,Skater XL Review – Too Little To Skate,Mediocre,5
PC,Battletoads Review – Middle-Aged Cartoon Alien Toads,Fair,6
PC,A Total War Saga: Troy Review - My Kingdom For A Centaur,Good,7
PC,Risk Of Rain 2 Review,Great,8
PC,Skully Review,Mediocre,5
PC,Umurangi Generation Review - Cyberpunk Snap,Superb,9
PC,Littlewood Review - Big Heart,Great,8
PS4,Horizon Zero Dawn Review,Superb,9
PC,Desperados 3 Review - Revolvers And Redos,Superb,9
PC,Rock Of Ages 3: Make & Break Review - Let's Roll,Good,7
NS,Panzer Paladin Review,Great,8
XONE,Maid Of Sker Review - Backtracking Trip,Poor,4
XONE,"Destroy All Humans Review - Two Arms, Two Legs, And An Attitude",Fair,6
PC,Necrobarista Review,Good,7
PC,Fight Crab Review - Battle Of The Bisque,Fair,6
PC,Rocket Arena Review,Fair,6
NS,Paper Mario: The Origami King Review,Great,8
NS,Bloodstained: Curse Of The Moon 2 Review,Great,8
PS4,Ghost Of Tsushima Review - You Khan Do It,Good,7
NS,Story Of Seasons: Friends Of Mineral Town Review - When The Seasons Change,Mediocre,5
PS4,Superhot: Mind Control Delete Review - Hack 'N Slash,Good,7
PS4,Death Stranding Review,Superb,9
PS4,CrossCode Review - A Lot Of Ambition,Fair,6
NS,Deadly Premonition 2: A Blessing In Disguise Review,Mediocre,5
PS4,Marvel's Iron Man VR Review - Hot Hands,Fair,6
NS,Ninjala Review - Gum Up The Works,Fair,6
NS,Mr. Driller Drill Land Review,Great,8
PC,West Of Dead Review - Rogue-lite Cowboy,Mediocre,5
NS,Pokemon Sword And Shield Isle Of Armor DLC Review,Great,8
NS,Death Come True Review - Hotel Hell,Fair,6
PC,Crucible Review,Mediocre,5
PS4,The Last Of Us Part 2 Spoiler Review - Dog Eat Dog,Great,8
PS4,The Last Of Us Part 2 Spoiler-Free Review,Great,8
PS4,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated Review - Expired Nostalgia,Terrible,2
PC,Valorant Review - A Valiant Effort,Good,7
PS4,Skelattack Review - Bone-Dry,Mediocre,5
PS4,Project Warlock Review - Wizard's First Doom,Fair,6
PC,Disintegration Review - First-Person Strategy,Good,7
NS,XCOM 2 Collection For Nintendo Switch Review - Close Encounters of the Bugged Kind,Fair,6
NS,The Outer Worlds For Nintendo Switch Review - Cosmic Haze,Fair,6
NS,Liberated Review,Poor,4
PC,Resolutiion Review - Do The Right Thing,Fair,6
PC,Those Who Remain Review - Little Staying Power,Bad,3
PC,Sea Of Thieves Review (2020) - A Voyage Finally Worth Taking,Great,8
NS,Xenoblade Chronicles: Definitive Edition Review,Superb,9
XONE,"Minecraft Dungeons Review - Mobsters, Inc.",Good,7
PS4,"Maneater Review - Fish Are Food, Not Friends",Good,7
PS4,Mortal Kombat 11: Aftermath Review - Friendship Never Ends,Good,7
PC,If Found Review - Call Me By My Name,Superb,9
NS,What The Golf Switch Review - A Swing And A Hit,Superb,9
NS,The Wonderful 101 Remastered Review - Mob Mentality,Poor,4
NS,Hatsune Miku: Project DIVA MegaMix Review - One More Time,Great,8
PC,Rainbow Six Siege Review (2020) - Breaches And Cream,Essential,1
PC,Legends Of Runeterra Review - Much Ado About Nautilus,Superb,9
PS4,Predator: Hunting Grounds Review - Muddied Up,Poor,4
PS4,Sakura Wars Review,Good,7
PC,XCOM: Chimera Squad Review,Great,8
PC,Cloudpunk Review - Time To Fly,Good,7
PS4,Streets Of Rage 4 Review - The Beat-'Em-Up Boys Are Back In Town,Great,8
PC,"Gears Tactics Review - Plan The Work, Work The Plan",Great,8
PC,Fallout 76: Wastelanders Review - A Disappointing Return,Mediocre,5
NS,Trials Of Mana Review - Trial And Error,Fair,6
NS,Treachery In Beatdown City Review,Great,8
PC,In Other Waters Review,Superb,9
XONE,Bleeding Edge Review - Underwatch,Fair,6
PS4,Final Fantasy 7 Remake Review - First Class,Essential,1
NS,Animal Crossing: New Horizons Review - Island Getaway,Superb,9
PS4,Persona 5 Royal Review - Hearts Of Gold,Essential,1
PS4,"Resident Evil 3 Remake Review - Farewell, Raccoon City",Fair,6
NS,Good Job Review - Office Space,Good,7
PC,Corruption 2029 Review,Fair,6
PS4,MLB The Show 20 Review,Great,8
PC,Half-Life: Alyx Review - Catch These Hands,Superb,9
PS4,Nioh 2 Review,Great,8
XONE,Ori And The Will Of The Wisps Review,Great,8
PC,Mindseize Review - Familiar Territory,Fair,6
NS,Pokemon Mystery Dungeon: Rescue Team DX Review,Great,8
PC,Wolcen: Lords Of Mayhem Review,Poor,4
PS4,Bloodroots Review,Great,8
NS,Snack World Review,Poor,4
PS4,Dreams Review,Superb,9
PS4,Granblue Fantasy Versus Review - Fighting Fantasy,Good,7
PC,The Pedestrian Review - Walk Before You Run,Good,7
PC,Through The Darkest Of Times Review - Enemy Inside The Gates,Great,8
NS,Kunai Review - Throwing Knives,Good,7
NS,Kentucky Route Zero Review - Where The Streets Have No Name,Superb,9
PS4,Kingdom Hearts 3 Re:Mind Review - Don't Remind Me,Poor,4
PC,Lenna's Inception Review - Press Start,Good,7
PC,Frostpunk: The Last Autumn Review - Calm Before The Storm,Great,8
PC,Unity Of Command 2 Review - Lifetime Supply,Great,8
PS4,Wattam Review - Forever Wondering,Good,7
PC,Supermash Review - Flop Jam,Bad,3
NS,The Touryst Review - Life's A Beach,Great,8
PC,Phoenix Point Review - The Life Aquatic,Great,8
PC,Darksiders: Genesis Review - Lucy And The Horsemen,Good,7
PC,Shovel Knight: King Of Cards Review - Royal Refinement,Great,8
PS4,Audica Review - Electronic Gun Music,Fair,6
PS4,Shenmue 3 Review - From A Forgotten Time,Mediocre,5
PC,Blacksad: Under The Skin Review - Dog Days,Mediocre,5
PC,Planet Zoo Review - Spreadsheet Safari,Good,7
NS,Sparklite Review - Shine A Light,Fair,6
NS,Pokemon Sword & Shield Review - Curry Favor,Superb,9
NS,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy Review - Merry Old England,Good,7
PS4,Need For Speed Heat Review - Getting Warmer,Good,7
NS,Mario & Sonic At The Olympic Games Tokyo 2020 Review - Gotta Go Fast,Good,7
PC,Disco Elysium Review - Pure Dynamite,Essential,1
PC,"Afterparty Review - Drink, Die, Repeat",Good,7
NS,Luigi's Mansion 3 Review - Mario Is Missing,Great,8
PS4,WWE 2K20 Review: Botchamania,Terrible,2
PS4,"Super Monkey Ball Banana Blitz HD Review - All Monkey, No Magic",Mediocre,5
PS4,MediEvil Review - Bones 'n Brawn,Mediocre,5
NS,Felix The Reaper Review - Footloose,Mediocre,5
NS,Little Town Hero Review - Brat Country,Mediocre,5
NS,The Witcher 3 Nintendo Switch Review - The Last Wish,Superb,9
NS,Killer Queen Black Review - 'Cause I'm Having a Good Time,Great,8
PC,John Wick Hex Review - Tick Tock Wick,Great,8
PS4,Concrete Genie Review - Rubs Me The Right Way,Good,7
PC,Indivisible Review - Moving Mountains,Good,7
NS,Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia,Fair,6
NS,Sayonara Wild Hearts Review - Falling Star,Fair,6
PC,The Surge 2 Review - Out On A Limb,Great,8
PS4,FIFA 20 Review - Premier League,Great,8
PC,Blasphemous Review - Darker Souls,Good,7
PC,Greedfall Review - Lost In Another World,Mediocre,5
XONE,NHL 20 Review - Smashed,Superb,9
NS,The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake,Great,8
PS4,No Man's Sky Beyond Review - Reach For The Stars,Superb,9
PC,Children of Morta Review,Great,8
PS4,AI: The Somnium Files Review - Eyes Love You,Great,8
PC,"Borderlands 3 Review - Six Sirens, One God-Queen",Great,8
PS4,eFootball PES 2020 Review - A Winning Formula,Superb,9
NS,Daemon X Machina Review - Tinker Toys,Good,7
PC,Creature In The Well Review - Well-Placed Shot,Great,8
PS4,Monster Hunter World: Iceborne Review - A Very Ice Time,Superb,9
PS4,Erica Review - Movie Night,Great,8
PS4,The Dark Pictures: Man of Medan Review - Drown And Out,Fair,6
PC,Blair Witch (Game) Review - Prying Eyes,Mediocre,5
PS4,Catherine: Full Body Review - One Step Closer To The Edge,Great,8
NS,Astral Chain Review - Anime Police Academy,Great,8
PC,Telling Lies Review - Watch Carefully,Good,7
PC,Ancestors: The Humankind Odyssey Review - Devolution Of The Species,Poor,4
PC,Remnant: From the Ashes Review - In My Sights,Good,7
PC,Wolfenstein: Youngblood Review - Family Matters,Great,8
PS4,Kill La Kill The Game: IF Review - Don't Lose Your Way,Good,7
PC,Warframe Review (2019) - Space Oddity,Great,8
NS,Marvel Ultimate Alliance 3: The Black Order Review - Superpowered,Great,8
PC,Night Call Review - The Full Fare,Great,8
NS,Dragon Quest Builders 2 Review - Building On A Strong Foundation,Great,8
PS4,SolSeraph Review - Play God,Fair,6
PC,198X Review,Mediocre,5
PC,Weedcraft Inc Review - I Got 5 On It,Mediocre,5
PC,They Are Billions Review - Everyone's Invited,Great,8
PS4,Sea Of Solitude Review - Adrift,Good,7
NS,Super Mario Maker 2 Review - Make My Day,Great,8
NS,Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively,Fair,6
PS4,Samurai Shodown Review - Life Or Death,Great,8
PC,F1 2019 Review - Pole Position,Superb,9
PS4,Judgment Review - Like A Tiger,Good,7
PS4,The Sinking City Review - Draining,Bad,3
PC,Imperator: Rome Review,Mediocre,5
PC,Mordhau Review - Medieval Times,Great,8
NS,Cadence Of Hyrule Review - Groove is in the Heart,Great,8
PS4,Crash Team Racing Nitro-Fueled Review - Back With A Bang,Great,8
PC,Outer Wilds Review - Extraterrestrial Investigation,Superb,9
PC,Void Bastards Review - Genres Collide,Great,8
PS4,Trover Saves The Universe Review - Couch Potatoes,Good,7
PS4,Blood and Truth Review - On The Move,Good,7
PC,Anno 1800 Review - The Prettiest Spreadsheet,Good,7
PC,Total War: Three Kingdoms Review - The New Romantics,Great,8
NS,Travis Strikes Again: No More Heroes Review - Short On Heroics,Fair,6
XONE,Layers of Fear 2 Review - Ghost Ship,Mediocre,5
PS4,Everybody's Golf VR Review - A Short Date To The Golf Course,Fair,6
PC,Whispers of a Machine Review - Hushed Greatness,Good,7
PS4,"Darkwood Review - Welcome To The Forest, Meat",Superb,9
PC,Rage 2 Review - Wasted Land,Fair,6
PC,World War Z Review - Zombie Zeitgeist,Fair,6
XONE,Giga Wrecker Alt Review - Hunk Of Junk,Poor,4
PS4,Yakuza Kiwami 2 Review - Like A Tiger,Great,8
PS4,"Days Gone Review - Farewell, Oregon",Mediocre,5
NS,BoxBoy! + BoxGirl! Review - Hip To Be Square,Good,7
NS,SteamWorld Quest Review - Letting Off Some Steam,Good,7
PC,Katana Zero Review - Slow-Motion For Me,Great,8
PS4,Falcon Age Review - High Flying,Great,8
PC,Pathway Review - Pulp Friction,Fair,6
PS4,Zanki Zero: Last Beginning Review - Attack Of The Clones,Fair,6
PS4,MLB The Show 19 Review - Bases Loaded,Superb,9
PC,Tropico 6 Review - World Stage,Great,8
PC,The World Next Door Review - Anime Angst,Fair,6
PC,"Operencia: The Stolen Sun Review - A Journey Far, Far Away",Great,8
PS4,Sekiro: Shadows Die Twice Review - Steel Yourself,Superb,9
PC,The Walking Dead: The Final Season Episode 4 Review,Superb,9
NS,Yoshi's Crafted World Review - Imagination,Great,8
PC,Hypnospace Outlaw Review - Weird World Web,Great,8
PC,Ethereal Review - Stay In Your Lane,Good,7
PS4,Left Alive Review - No Will To Survive,Bad,3
PC,Objects In Space Review - Adrift,Great,8
XONE,Devil May Cry 5 Review - From Zero To Nero,Superb,9
PS4,ToeJam & Earl: Back In The Groove Review - The Funk-Soul Brothers,Mediocre,5
NS,Assault Android Cactus+ Review - Robots Rock,Superb,9
PS4,Dead Or Alive 6 Review - Combat Ready,Good,7
PC,Civilization 6: Gathering Storm Review - Weather The Storm,Superb,9
PC,Eastshade Review - A Brush With Nature,Superb,9
PS4,Trials Rising Review - It's A Gas,Good,7
PC,Devotion Review - House Of Horrors,Superb,9
NS,Tetris 99 Review - Embrace The Chaos,Great,8
XONE,Crackdown 3 Review - Man Of Steel,Mediocre,5
PC,Astroneer Review - New Frontiers,Fair,6
NS,Dragon Marked for Death Review - Dates With Death,Good,7
PC,Sunless Skies Review - British Steam Power,Great,8
NS,Wargroove Review - The Doggos Of War,Great,8
PC,Jon Shafer's At The Gates Review - Fertile Soil,Good,7
PC,Mage's Initiation: Reign Of The Elements Review - VGA Heyday,Fair,6
XONE,Genesis Alpha One Review - Drifting Without Direction,Poor,4
PS4,The Walking Dead: The Final Season Episode 3 Review,Great,8
PS4,YIIK: A Postmodern RPG Review - A Bit More Hipster,Mediocre,5
NS,Double Cross Review - Combat Woes,Fair,6
PS4,Vane Review - In Vain,Mediocre,5
PC,The Eternal Castle Remastered Review - Vivid Flashbacks,Great,8
NS,"New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!",Good,7
NS,"Bury Me, My Love Review - Trials And Tribulations",Great,8
NS,Battle Princess Madelyn Review - Halfway There,Fair,6
NS,Super Smash Bros. Ultimate Review - Me And You And Everyone We Know,Superb,9
PC,Gris Review - Seeing In Color,Superb,9
PS4,Earth Defense Force 5 Review - Another Bug Hunt,Great,8
PC,Artifact Review - Play Your Cards Right,Great,8
PC,Just Cause 4 Review - Mildly Wild Ride,Fair,6
PS4,Big Bash Boom Review: Stiff Wickets,Mediocre,5
PC,Cosmic Top Secret Review - Declassified,Good,7
PS4,Darksiders 3 Review - Soils-Like,Poor,4
PS4,Persona 5: Dancing In Starlight Review - The Shujin Shuffle,Great,8
PS4,Persona 3: Dancing In Moonlight Review - A Spotlight In The Dark Hour,Superb,9
PS4,Beat Saber Review - Bass-Boosted,Great,8
PC,Underworld Ascendant Review: Going Under,Terrible,2
NS,Taiko no Tatsujin: Drum 'n' Fun / Drum Session Review - Rhythm Party,Good,7
PC,Battlefield 5 Review - Breaking Through The Front Lines,Great,8
PC,Overkill's The Walking Dead Review - DOA,Bad,3
PS4,Spyro Reignited Trilogy Review - Fan The Flames,Great,8
PS4,The Quiet Man Review - Silence Is Not Golden,Terrible,2
PC,Cities: Skylines - Industries Review - The Up And Up,Good,7
NS,SNK 40th Anniversary Collection Review - It Belongs In A Museum,Great,8
PS4,Deracine Review - Elementary,Mediocre,5
PC,Football Manager 2019 Review - A Winning Strategy,Great,8
NS,Diablo 3: Eternal Collection Switch Review - Better With Age,Superb,9
PC,Gwent Review - Heart Of The Cards,Great,8
NS,Black Bird Review - Featherweight,Mediocre,5
PS4,WWE 2K19 Review: A Step In The Right Direction,Good,7
XONE,NBA 2K Playgrounds 2 Review - Ball Another Day,Mediocre,5
PS4,"Call Of Duty: Black Ops 4 Review - Zombies, Blackout, Multiplayer",Great,8
PS4,Lego DC Super-Villains Review: Mediocre Mischief-Makers,Mediocre,5
NS,Super Mario Party Review - Test Those Friendships,Good,7
PC,"World of Warcraft: Battle For Azeroth - Come One, Come All",Good,7
NS,FIFA 19 Nintendo Switch Review - Offside,Mediocre,5
PC,Pathfinder: Kingmaker Review - The Classics,Fair,6
NS,Freedom Planet Review -- Speedy Ambitions,Good,7
PS4,Fist Of The North Star: Lost Paradise Review - Be The Tough Boy,Great,8
PC,The Bard's Tale IV: Barrows Deep Review - Lament,Poor,4
NS,Final Fantasy XV: Pocket Edition HD Review - Nintendo Switch,Good,7
PS4,PES 2019 Review,Superb,9
PS4,Telltale's The Walking Dead: The Final Season Episode 2 Review,Great,8
PS4,Transference Review - In Another World,Good,7
PC,Star Control: Origins Review - Space Oddity,Fair,6
NS,The Gardens Between Review - Dance Among The Stars,Great,8
NS,Wasteland 2: Director's Cut Nintendo Switch Review,Great,8
PS4,Zone Of The Enders: The 2nd Runner - MARS Review,Mediocre,5
NS,Nintendo Labo Vehicle Kit Review: The Most Fun Labo Yet,Good,7
PC,Lamplight City Review - Cold Case,Fair,6
PC,Frozen Synapse 2 Review - Cool-Headed,Great,8
PS4,428: Shibuya Scramble Review - When Fates Collide,Great,8
PS4,"NBA 2K19 Review - Another Year, Another Baller",Good,7
PC,Two Point Hospital Review - Laughter Is The Best Medicine,Great,8
PS4,Marvel's Spider-Man PS4 Review: Amazing Fantasy,Superb,9
XONE,Strange Brigade Review - Co-op With Style,Good,7
NS,Planet Alpha Review: A Beautiful Planet,Good,7
PC,Donut County Review: Pit Falls,Fair,6
NS,Little Dragons Cafe Review - Dragging On,Fair,6
PC,The Golf Club 2019 Review,Great,8
NS,Hollow Knight Review - An Exceptional Adventure,Superb,9
NS,Monster Hunter Generations Ultimate Review - A Formidable Beast,Good,7
PS4,F1 2018 Review - Victory Lap,Superb,9
PC,Death's Gambit Review - A Maddening Mission,Fair,6
PC,The King's Bird Review: A Rocky Flight,Mediocre,5
PS4,Guacamelee 2 Review - Ready For A Challenge,Superb,9
PS4,H1Z1 Battle Royale PS4 Review: All Kills No Frills,Good,7
PS4,The Walking Dead - The Final Season Episode 1: Done Running Review,Great,8
PC,Phantom Doctrine Review: Tactical Espionage Action,Superb,9
PC,Flipping Death Review: Scythe Life,Good,7
XONE,Madden NFL 19 Review,Great,8
PC,We Happy Few Review,Poor,4
PC,Unavowed Review: Dressed To Possess,Superb,9
NS,Overcooked 2 Review - A Great Second Course,Great,8
PS4,No Man's Sky Review,Good,7
PC,The Banner Saga 3 Review,Great,8
XONE,Earthfall Review: An Inferior Invasion,Poor,4
NS,Semblance Review,Good,7
NS,20XX Review - Robot Generation,Good,7
PS4,Fighting EX Layer Review: One-On-One Fun,Great,8
NS,Captain Toad: Treasure Tracker Nintendo Switch Review: Time For Adventure,Great,8
PS4,The Crew 2 Review - On The Road Again,Great,8
NS,Wolfenstein 2: The New Colossus Nintendo Switch Review,Great,8
PC,Wreckfest Review: Crashing The Party,Superb,9
NS,Mario Tennis Aces Review: Aim High,Good,7
NS,Sushi Striker: The Way Of Sushido Review - Cartoon Cuisine Combat,Good,7
PS4,Onrush Review: Push It To The Limit,Superb,9
PC,Golem Review: Hidden In Plain Sight,Mediocre,5
PC,Yoku’s Island Express Review: A Breath of Fresh Air,Superb,9
PC,The Forest Review: Are You Afraid Of The Dark?,Great,8
PC,Agony Review: A Captivating Disappointment,Bad,3
PC,"Quarantine Circular Review: Who Are We, Really?",Good,7
NS,Wizard Of Legend Review: Fast-Paced Action,Good,7
PS4,Detroit: Become Human Review - To Err Is Human,Good,7
NS,Hyrule Warriors: Definitive Edition Review - The Great Zelda Spin-Off Is Back,Great,8
PC,FAR: Lone Sails Review: Come Sail Away,Great,8
PS4,Destiny 2: Warmind Review - Back To Work,Fair,6
PC,Pillars Of Eternity 2: Deadfire Review - A Pirate's Life For Me,Great,8
PC,Battletech Review: A Tactical PC Game That Will Mech Your Day,Great,8
PC,"Total War Saga: Thrones Of Britannia Review - Rule, Britannia",Great,8
NS,Nintendo Labo Review: Variety Kit And Robot Kit,Good,7
NS,Donkey Kong Country: Tropical Freeze Review - A Blast From The Past,Superb,9
NS,Jotun: Valhalla Edition Switch Review - A Slight Downgrade,Good,7
PC,"Frostpunk Review: Damned If You Do, Damned If You Don't",Superb,9
XONE,The Invisible Hours Review: From Every Angle,Good,7
PS4,Yakuza 6: The Song Of Life Review: Tokyo Drifter,Great,8
PS4,"God Of War Review: Out With The Old, In With The New",Superb,9
NS,Penny-Punching Princess Review: In For A Pound,Fair,6
PC,Fortnite: Battle Royale Review - Laying The Foundation,Great,8
PC,Kerbal Space Program: Making History Review - Shoot For The Mun,Good,7
PC,Orwell: Ignorance Is Strength Review - Staunch Surveillance,Fair,6
PS4,MLB The Show 18 Review: A Home Run,Superb,9
XONE,Sea Of Thieves Review: Set Sail With Trepidation,Fair,6
NS,Bridge Constructor Portal Review,Poor,4
PS4,Batman: The Enemy Within Episode 5 Review - No More Joking Around,Superb,9
PC,H1Z1 Review: Still On The Ground Floor,Fair,6
PC,Ni No Kuni 2: Revenant Kingdom Review - A Regal Joyride,Great,8
PS4,A Way Out Review: You Can't Have One Without The Other,Fair,6
PS4,Attack on Titan 2 Review: Colossal Action,Great,8
PC,Surviving Mars Review: Building The Final Frontier,Great,8
PS4,Bravo Team Review: Back To Basics,Poor,4
NS,Kirby Star Allies Review: Take It Easy,Great,8
PS4,The 25th Ward: The Silver Case Review: Obstruction Of Justice,Fair,6
PC,Pit People Review,Good,7
PS4,Q.U.B.E. 2 Review: Think Inside The Box,Good,7
PS4,Gravel Review: Slow And Steady Doesn't Win The Race,Mediocre,5
PS4,Metal Gear Survive Review: Too Harsh To Enjoy,Mediocre,5
PC,Where The Water Tastes Like Wine Review: Hard Travelin',Fair,6
PS4,Moss Review: Tiny Triumph,Great,8
NS,Payday 2 Switch Review: Mo' Money Mo' Problems,Mediocre,5
PC,Age Of Empires: Definitive Edition Review: Antique Revival,Fair,6
NS,Fe Review: Strike A Chord,Good,7
PS4,"Secret Of Mana Review: Where Secrets Go, Trouble Follows",Fair,6
PC,Rust Review: Life Is Fleeting,Bad,3
PC,Attack Of The Earthlings Review: The Tables Have Turned,Good,7
NS,Aegis Defenders Review,Poor,4
PS4,Dynasty Warriors 9 Review: A New World,Good,7
NS,The Longest Five Minutes Review: The Power Of Memories,Fair,6
PC,Crossing Souls Review: Stuck In The Past,Fair,6
PC,Civilization 6: Rise And Fall Review: A New Era,Great,8
NS,Dragon Quest Builders Review: Working The Land,Great,8
PS4,Dissidia Final Fantasy NT Review: A Messy Mashup,Mediocre,5
PS4,"UFC 3 Review: A Tense, Exciting, And Dynamic Recreation Of MMA",Great,8
PC,OK K.O.! Let's Play Heroes Review: Pulling Punches,Fair,6
PS4,Shadow Of The Colossus Review: A Timeless Classic,Superb,9
PC,Subnautica Review: A Water Wonderland,Superb,9
PS4,Lost Sphear Review: Short Of The Mark,Fair,6
NS,Celeste Review: More Than Just A Great Platformer,Superb,9
PS4,MLB The Show 17 Review,Great,8
PS4,The Inpatient Review,Great,8
PS4,AO Tennis Review,Bad,3
PC,The Red Strings Club Review,Superb,9
PC,Spellforce 3 Review,Good,7
NS,Brawlout Review,Mediocre,5
PC,L.A. Noire: The VR Case Files Review,Great,8
PC,PlayerUnknown's Battlegrounds Review,Great,8
PC,Hello Neighbor Review,Bad,3
NS,The Legend of Zelda: Breath Of The Wild - The Champions' Ballad Review,Great,8
PC,Rumu Review,Good,7
PS4,Destiny 2: Curse Of Osiris Review,Mediocre,5
PS4,Steep: Road To The Olympics Review,Good,7
PS4,Doom VFR Review,Good,7
NS,Xenoblade Chronicles 2 Review,Good,7
PC,Batman: The Enemy Within - Episode 3: Fractured Mask Review,Great,8
NS,LA Noire Switch Review,Good,7
PC,Football Manager 2018 Review,Superb,9
NS,The Elder Scrolls V: Skyrim Switch Review,Great,8
PS4,Ashes Cricket Review,Good,7
PS4,Lego Marvel Super Heroes 2 Review,Good,7
NS,Doom Switch Review,Good,7
PS4,GT Sport Review,Great,8
PC,Hand Of Fate 2 Review,Great,8
NS,Rocket League Switch Review,Superb,9
NS,Spelunker Party Review,Fair,6
PS4,Steven Universe: Save the Light Review,Fair,6
PS4,Oure Review,Mediocre,5
PS4,Horizon: Zero Dawn - The Frozen Wilds Review,Great,8
PS4,Life Is Strange: Before The Storm - Episode 2 - Brave New World Review,Good,7
PS4,Megaton Rainfall Review,Good,7
PS4,The Mummy Demastered Review,Good,7
NS,Super Mario Odyssey Review,Essential,1
PC,Arktika.1 Review,Good,7
NS,Golf Story Review,Great,8
PS4,Elex Review,Poor,4
NS,Fire Emblem Warriors Review,Fair,6
PC,The Flame in the Flood Review,Great,8
PC,A Hat In Time Review,Good,7
PS4,Gundam Versus Review,Good,7
NS,FIFA 18 Nintendo Switch Review,Mediocre,5
PC,Batman - The Enemy Within: The Enigma - Episode 1 Review,Great,8
PC,Batman: The Enemy Within - Episode 2: The Pact Review,Great,8
PS4,WRC 7 Review,Good,7
PC,Figment Review,Good,7
PC,Total War: Warhammer 2 Review,Superb,9
PC,Ruiner Review,Great,8
PS4,Project Cars 2 Review,Good,7
PS4,NHL 18 Review,Good,7
PC,Echo Review,Great,8
PS4,Don't Knock Twice Review,Mediocre,5
PS4,Ys VIII: Lacrimosa Of Dana Review,Great,8
PC,ARK: Survival Evolved Review,Fair,6
PS4,Knack 2 Review,Good,7
PS4,Everybody's Golf Review,Great,8
PC,XCOM 2: War Of The Chosen Review,Superb,9
PC,Life Is Strange: Before The Storm - Episode 1 - Awake Review,Great,8
PS4,Warriors All-Stars Review,Good,7
PS4,Last Day Of June Review,Fair,6
PC,Absolver Review,Great,8
NS,Mario + Rabbids: Kingdom Battle Review,Superb,9
PC,Distrust Review,Good,7
PC,Guardians Of The Galaxy - Episode 3: More Than A Feeling Review,Fair,6
PS4,Yonder: The Cloud Catcher Chronicles Review,Fair,6
XONE,The Pillars Of The Earth Review,Good,7
PC,Observer Review,Superb,9
PC,The Long Dark Review,Fair,6
PS4,Agents Of Mayhem Review,Poor,4
PS4,Matterfall Review,Fair,6
PC,Lawbreakers PC Review,Great,8
PS4,Lawbreakers PS4 Review,Good,7
PC,Gigantic Review,Great,8
PS4,Rez Infinite Review,Superb,9
PC,Redeemer Review,Fair,6
PC,For Honor Review,Great,8
PC,Sundered Review,Great,8
NS,Splatoon 2 Review,Great,8
PC,Diablo 3: Rise Of The Necromancer Review,Good,7
PC,Final Fantasy 14: Stormblood Review,Great,8
PS4,Final Fantasy 12: The Zodiac Age Review,Superb,9
PC,Rakuen Review,Good,7
PC,The Mage's Tale Review,Poor,4
PS4,Get Even Review,Good,7
PS4,Valkyria Revolution Review,Fair,6
PC,Cities: Skylines - Mass Transit Review,Great,8
PS4,Star Trek: Bridge Crew Review,Fair,6
PS4,Nex Machina Review,Superb,9
PC,Impact Winter Review,Fair,6
PC,Reservoir Dogs: Bloody Days Review,Poor,4
PC,The Fidelio Incident Review,Fair,6
